대분류,기능,요구사항ID,기능 설명,Method,Resource,입력값,출력값,FE,EM,반영 여부
대시보드,의사용 특정 환자 상세 데이터 조회,FR-U05.2,"의사는 환자에 대한 상세 정보(ex: 음성 파일, 음성 특징 값)를 조회할 수 있습니다.",GET,/dashboard/doctor/{patient_id},로그인 토큰,"환자의 지터, 시머 등 음성 분석 데이터",Yes,No,No
프로필 관리,내 프로필 정보 조회,FR-U04.6,현재 로그인된 사용자의 개인 정보를 조회합니다.,GET,/users/profile,로그인 토큰,"아이디, 이름, 전화번호, 이메일, 주소 등",Yes,Yes,No
프로필 관리,내 프로필 정보 수정,FR-U04.6,현재 로그인된 사용자의 개인 정보(전화번호 등)를 수정합니다.,PUT,/users/profile,로그인 토큰,수정된 전체 사용자 정보,Yes,No,No
사용자 목록 관리,(의사용) 연결된 환자 목록 조회,"FR-U05.2, FR-U05.3, FR-U05.4",의사가 자신과 연결이 승인된 환자 목록 전체를 조회합니다.,GET,/users/connections/patients,의사 본인의 토큰,환자 정보 객체의 배열,Yes,No,No
사용자 목록 관리,(환자용) 연결된 의사 목록 조회,FR-S02.3,환자가 자신과 연결된 의사 목록을 조회합니다.,GET,/users/connections/doctors,로그인 토큰,의사 정보 객체 배열,Yes,No,No
사용자 목록 관리,(의사용) 환자에게 데이터 열람 요청,FR-U05.1,의사가 환자의 username으로 데이터 열람 권한을 요청합니다.,POST,/users/connections/requests,"요청을 보낼 환자의 아이디, 의사 본인의 토큰",요청이 잘 보내졌다는 단순 확인 메시지를 반환,Yes,No,No
사용자 목록 관리,(환자용) 받은 데이터 열람 요청 목록 조회,FR-U05.1,환자에게 온 승인/거절하지 않은 데이터 열람 요청 목록을 조회합니다.,GET,/users/connections/requests,환자 본인의 토큰,요청을 보낸 의사 목록,Yes,No,No
사용자 목록 관리,(환자용) 데이터 열람 요청 승인,FR-U05.1,환자가 request_id에 해당하는 요청을 승인합니다.,PUT,/users/connections/approve,"승인할 요청의 고유 ID, 환자 본인의 토큰",요청이 잘 승인되었다는 확인 메시지를 반환,Yes,No,No
사용자 목록 관리,데이터 열람 연결 해제,FR-U05.1,connection_id에 해당하는 의사-환자 연결을 해제합니다.,DELETE,/users/connections/{connection_id},"해제할 연결의 고유 ID, 본인의 토큰",연결이 잘 해제되었다는 확인 메시지를 반환,Yes,No,No
사용자 목록 관리,환자 목록 순서 조회,FR-U05.1,의사가 지정한 환자 리스트 순서를 조회 합니다.,GET,/users/list-order,로그인 토큰,등록된 순서,Yes,No,No
사용자 목록 관리,환자 목록 순서 수정,FR-U05.1,의사가 지정한 환자 리스트 순서를 저장 합니다.,POST,/users/list-order,로그인 토큰,등록된 순서,Yes,No,No
환자 병원 방문 스케줄 관리,병원 방문 스케줄 추가,FR-U04.2,병원 방문 스케줄을 추가합니다.,POST,/users/schedule,"로그인 토큰, 방문 날짜",등록 성공 여부,Yes,No,No
환자 병원 방문 스케줄 관리,병원 방문 스케줄 제거,FR-U04.2,병원 방문 스케줄을 제거합니다.,DELETE,/users/schedule,"로그인 토큰, 방문 날짜",삭제 성공 여부,Yes,No,No
환자 병원 방문 스케줄 관리,병원 방문 스케줄 조회,FR-U04.2,병원 방문 스케줄을 모두 조회 합니다.,GET,/users/schedule,로그인 토큰,등록된 모든 스케줄,Yes,No,No
